MODELO	CDO	COLOR	PRECIO DE LISTA	PRECIO EN PROMOCIÓN
SPARK LITE E5 0.8 MT	375166	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	375170	ROJO SOLAR	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	375171	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	375172	CELESTE METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	375178	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	375179	GRIS TITANIO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	376179	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	376181	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	376958	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	376959	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	376963	CELESTE METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	376965	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	376966	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	377656	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	377658	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	377659	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	377660	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	377661	CELESTE METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	379013	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	379014	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	379016	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	379017	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	379019	CELESTE METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	379021	NEGRO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	379022	NEGRO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	379015	GRIS TITANIO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	380868	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381505	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381506	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381507	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381510	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381511	CELESTE METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381512	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381514	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381516	NEGRO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381518	NEGRO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381520	VERDE LIMA	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381522	GRIS TITANIO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381524	GRIS TITANIO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	381526	GRIS TITANIO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	382322	GRIS TITANIO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	382323	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	382324	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 1.0 MT	371465	AMARILLO MIEL	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	374858	CELESTE METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	375181	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	375183	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	375185	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	375189	CELESTE METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	375190	CELESTE METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	376967	VERDE LIMA	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	376971	CELESTE METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	376973	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	377664	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	377665	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	377668	NEGRO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	377669	BLANCO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	379028	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	379029	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	379030	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	379031	BLANCO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	379034	CELESTE METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	379038	BLANCO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	379037	GRIS TITANIO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	381532	CELESTE METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	381533	CELESTE METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	381534	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	381536	BLANCO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	381537	PLATA METALICO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	381538	BLANCO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	381539	BLANCO	 $ 5.141.000 	 $ 3.890.000 
SPARK LITE E5 1.0 MT	381542	VERDE LIMA	 $ 5.141.000 	 $ 3.890.000 
TRACKER 1.8 AWD E5 LT AT	377015	PLATA METALICO	 $ 13.755.000 	 $ 11.990.000 
TRACKER 1.8 AWD E5 LT AT	377712	CAFE ARENA METALICO	 $ 13.755.000 	 $ 11.990.000 
TRACKER 1.8 AWD E5 LT AT	377713	PLATA METALICO	 $ 13.755.000 	 $ 11.990.000 
TRACKER 1.8 AWD E5 LT AT	378956	PLATA METALICO	 $ 13.755.000 	 $ 11.990.000 
TRACKER 1.8 AWD E5 LT AT	381388	BURDEO METALICO	 $ 13.755.000 	 $ 11.990.000 
TRACKER 1.8 AWD E5 LT AT	381392	AZUL CLARO METALICO	 $ 13.755.000 	 $ 11.990.000 
TRACKER 1.8 AWD E5 LT AT	381394	PLATA METALICO	 $ 13.755.000 	 $ 11.990.000 
TRACKER 1.8 AWD E5 LT AT	381395	CAFE ARENA METALICO	 $ 13.755.000 	 $ 11.990.000 
TRACKER 1.8 AWD E5 LT AT	381396	CAFE ARENA METALICO	 $ 13.755.000 	 $ 11.990.000 
TRACKER 1.8 FWD E5 LS MT	371255	PLATA METALICO	 $ 10.993.000 	 $ 9.890.000 
TRACKER 1.8 FWD E5 LT MT	378773	PLATA METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	380706	GRIS METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381401	AZUL CLARO METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381404	CAFE ESPRESSO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381405	BLANCO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381406	GRIS METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381408	GRIS METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381409	GRIS METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381411	PLATA METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381412	PLATA METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381413	PLATA METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381414	PLATA METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381415	PLATA METALICO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	381416	BLANCO	 $ 12.224.000 	 $ 10.890.000 
TRACKER 1.8 FWD E5 LT MT	382549	BURDEO METALICO	 $ 12.224.000 	 $ 10.890.000 
TRAVERSE III 1LT SU 5P 3.6L FWD	378910	BURDEO METALICO	 $ 21.489.000 	 $ 18.990.000 
TRAVERSE III LT SU 5P 3.6L AWD  	363414	GRIS GRAFITO METALICO	 $ 27.627.000 	 $ 24.990.000 
TRAVERSE III LT SU 5P 3.6L AWD  	377497	NEGRO GRANITO METALICO	 $ 27.627.000 	 $ 24.990.000 
TRAVERSE III LT SU 5P 3.6L AWD  	377498	BLANCO INVIERNO	 $ 27.627.000 	 $ 24.990.000 
